敵ID,出現フェーズ,出現秒数,出現場所
NormalSkelton,1,0,1
NormalSkelton,1,1,1
NormalSkelton,1,2,1
NormalSkelton,1,4,1
NormalSkelton,1,12,1
NormalSkelton,1,14,1
NormalSkelton,1,16,1
NormalSkelton,1,18,1
NormalSkelton,1,22,1
NormalSkelton,1,26,1
NormalSkelton,1,28,1
BigSkelton,1,20,1
NormalSkelton,2,0,1
NormalSkelton,2,2,1
NormalSkelton,2,3,1
NormalSkelton,2,5,1
NormalSkelton,2,7,1
NormalSkelton,2,9,1
NormalSkelton,2,12,1
NormalSkelton,2,14,1
NormalSkelton,2,15,1
NormalSkelton,2,18,1
NormalSkelton,2,22,1
NormalSkelton,2,24,1
BigSkelton,2,18,1
NormalSkelton,3,0,1
NormalSkelton,3,2,1
NormalSkelton,3,3,1
NormalSkelton,3,5,1
NormalSkelton,3,6,1
NormalSkelton,3,9,1
NormalSkelton,3,12,1
NormalSkelton,3,14,1
NormalSkelton,3,15,1
NormalSkelton,3,17,1
NormalSkelton,3,19,1
NormalSkelton,3,25,1
BigSkelton,3,16,1
BigSkelton,3,20,1
