敵ID,出現フェーズ,出現秒数,出現場所
FastSkelton,1,0,1
NormalSkelton,1,1,1
NormalSkelton,1,2,1
NormalSkelton,1,4,1
FastSkelton,1,6,1
BigSkelton,1,7,1
NormalSkelton,1,8,1
NormalSkelton,1,10,1
NormalSkelton,1,12,1
NormalSkelton,1,14,1
FastSkelton,1,16,1
NormalSkelton,1,18,1
NormalSkelton,1,22,1
FastSkelton,1,26,1
NormalSkelton,1,27,1
NormalSkelton,1,28,1
BigSkelton,1,20,1
NormalSkelton,2,0,1
FastSkelton,2,1,1
FastSkelton,2,2,1
NormalSkelton,2,3,1
NormalSkelton,2,5,1
NormalSkelton,2,7,1
FastSkelton,2,9,1
NormalSkelton,2,12,1
NormalSkelton,2,13,1
FastSkelton,2,14,1
NormalSkelton,2,15,1
NormalSkelton,2,16,1
BigSkelton,2,18,1
NormalSkelton,2,19,1
NormalSkelton,2,20,1
FastSkelton,2,21,1
NormalSkelton,2,22,1
NormalSkelton,2,24,1
BigSkelton,2,18,1
NormalSkelton,3,0,1
NormalSkelton,3,2,1
NormalSkelton,3,3,1
BigSkelton,3,4,1
FastSkelton,3,5,1
NormalSkelton,3,6,1
NormalSkelton,3,6,1
FastSkelton,3,7,1
NormalSkelton,3,9,1
FastSkelton,3,12,1
NormalSkelton,3,14,1
NormalSkelton,3,15,1
NormalSkelton,3,17,1
NormalSkelton,3,19,1
NormalSkelton,3,25,1
BigSkelton,3,16,1
BigSkelton,3,20,1
